tabela,coluna,tipo,linhas,nulos,percentual_nulos
dim_data,DataKey,INTEGER,1826,0,0.0
dim_data,Data,DATE,1826,0,0.0
dim_data,Ano,SMALLINT,1826,0,0.0
dim_data,MesNumero,TINYINT,1826,0,0.0
dim_data,MesNome,VARCHAR,1826,0,0.0
dim_data,AnoMes,VARCHAR,1826,0,0.0
dim_data,Trimestre,VARCHAR,1826,0,0.0
dim_distribuidora,SigAgente,VARCHAR,105,0,0.0
dim_distribuidora,NumCNPJ,VARCHAR,105,0,0.0
dim_distribuidora,DistribuidoraKey,BIGINT,105,0,0.0
dim_conjunto,ConjuntoKey,BIGINT,3824,0,0.0
dim_conjunto,DistribuidoraKey,BIGINT,3824,0,0.0
dim_conjunto,NumCNPJ,VARCHAR,3824,0,0.0
dim_conjunto,IdeConjunto,BIGINT,3824,0,0.0
dim_conjunto,DscConjunto,VARCHAR,3824,0,0.0
dim_conjunto,CodMunicipio,VARCHAR,3824,0,0.0
dim_conjunto,Municipio,VARCHAR,3824,0,0.0
dim_conjunto,UF,VARCHAR,3824,0,0.0
dim_conjunto,Regiao,VARCHAR,3824,0,0.0
dim_indicador,IndicadorKey,TINYINT,2,0,0.0
dim_indicador,SigIndicador,VARCHAR,2,0,0.0
dim_indicador,NomeIndicador,VARCHAR,2,0,0.0
dim_indicador,Unidade,VARCHAR,2,0,0.0
dim_tipo_interrupcao,TipoInterrupcaoKey,TINYINT,2,0,0.0
dim_tipo_interrupcao,TipoInterrupcao,VARCHAR,2,0,0.0
dim_motivo_interrupcao,MotivoInterrupcaoKey,INTEGER,9,0,0.0
dim_motivo_interrupcao,MotivoCodigo,INTEGER,9,0,0.0
dim_motivo_interrupcao,MotivoDescricao,VARCHAR,9,0,0.0
dim_motivo_interrupcao,EhExpurgada,TINYINT,9,0,0.0
dim_causa_interrupcao,CausaKey,BIGINT,518,0,0.0
dim_causa_interrupcao,Origem,VARCHAR,518,0,0.0
dim_causa_interrupcao,Programacao,VARCHAR,518,0,0.0
dim_causa_interrupcao,GrupoCausa,VARCHAR,518,0,0.0
dim_causa_interrupcao,CausaDetalhada,VARCHAR,518,0,0.0
