tabela,coluna,tipo,linhas,nulos,percentual_nulos
fato_continuidade,FatoContinuidadeKey,UBIGINT,375082,0,0.0
fato_continuidade,DataKey,INTEGER,375082,0,0.0
fato_continuidade,DistribuidoraKey,BIGINT,375082,0,0.0
fato_continuidade,ConjuntoKey,BIGINT,375082,0,0.0
fato_continuidade,IndicadorKey,TINYINT,375082,0,0.0
fato_continuidade,VlrIndicador,DOUBLE,375082,0,0.0
fato_continuidade,VlrLimite,DOUBLE,375082,754,0.2
fato_continuidade,UltrapassouLimite,TINYINT,375082,0,0.0
fato_continuidade,ExcessoSobreLimite,DOUBLE,375082,0,0.0
fato_continuidade,PercentualDoLimite,DOUBLE,375082,754,0.2
fato_causa_mensal,FatoCausaMensalKey,UBIGINT,3002279,0,0.0
fato_causa_mensal,DataKey,INTEGER,3002279,0,0.0
fato_causa_mensal,DistribuidoraKey,BIGINT,3002279,0,0.0
fato_causa_mensal,ConjuntoKey,BIGINT,3002279,0,0.0
fato_causa_mensal,TipoInterrupcaoKey,TINYINT,3002279,0,0.0
fato_causa_mensal,MotivoInterrupcaoKey,INTEGER,3002279,0,0.0
fato_causa_mensal,CausaKey,BIGINT,3002279,0,0.0
fato_causa_mensal,NivelTensao,DOUBLE,3002279,0,0.0
fato_causa_mensal,QtdInterrupcoes,INTEGER,3002279,0,0.0
fato_causa_mensal,DuracaoTotalHoras,DOUBLE,3002279,0,0.0
fato_causa_mensal,DuracaoMediaHoras,DOUBLE,3002279,0,0.0
fato_causa_mensal,MaiorInterrupcaoHoras,DOUBLE,3002279,0,0.0
fato_causa_mensal,UnidadesAfetadasSoma,BIGINT,3002279,0,0.0
fato_causa_mensal,ConsumidorHoras,DOUBLE,3002279,0,0.0
fato_causa_mensal,ContribDEC_Estimada,DOUBLE,3002279,0,0.0
fato_causa_mensal,ContribFEC_Estimada,DOUBLE,3002279,0,0.0
